title,body,labels,milestone
"[EPIC] Release Integrity and Truth Baseline","Owner: @team-platform
KPI: Release Gate Completeness = 100% for tagged releases.

Scope:
- Unify release gating across test/security/integration workflows.
- Reconcile status docs so capability/roadmap/GA views do not conflict.
- Make readiness evidence machine-checkable.

Acceptance Criteria:
- [ ] Release workflow depends on security + integration smoke + nightly evidence checks.
- [ ] One generated status snapshot is published in CI artifacts.
- [ ] No contradictory GA blocker status across canonical docs.","program:execution-2026,epic,priority:critical,owner:team-platform","2026-M0 Release Integrity"
"Gate release workflow on security and integration checks","Owner: @team-platform
KPI: 0 releases published without successful security+integration gate.

Acceptance Criteria:
- [ ] `release.yml` requires successful completion of selected `security.yml` and integration suites.
- [ ] Tag build fails when dependency gates are missing.
- [ ] Release run summary lists all upstream gate SHAs.","program:execution-2026,priority:critical,owner:team-platform","2026-M0 Release Integrity"
"Make npm dependency audit blocking for HIGH/CRITICAL","Owner: @team-risk
KPI: High/Critical npm audit findings merged to main = 0.

Acceptance Criteria:
- [ ] Security workflow fails on HIGH/CRITICAL npm vulnerabilities.
- [ ] Warning-only path removed for high-severity findings.
- [ ] Exception mechanism documented with expiration and owner.","program:execution-2026,security,priority:high,owner:team-risk","2026-M0 Release Integrity"
"Add PR integration smoke lane for high-risk paths","Owner: @team-platform
KPI: Escaped regressions from integration/e2e classes <= 2 per month.

Acceptance Criteria:
- [ ] PR workflow runs a bounded integration smoke suite.
- [ ] Smoke suite covers API, streaming, receipts, and one connector path.
- [ ] Runtime budget stays under 15 minutes.","program:execution-2026,ci,testing,priority:high,owner:team-platform","2026-M0 Release Integrity"
"Tighten skip-marker governance and burn-down","Owner: @team-platform
KPI: Skip baseline count reduced by >= 30 by milestone close.

Acceptance Criteria:
- [ ] New skips require ticket reference and expiry date.
- [ ] CI fails when baseline increases without approved override.
- [ ] Existing 136 skip baseline has a burn-down plan with owners.","program:execution-2026,testing,priority:high,owner:team-platform","2026-M0 Release Integrity"
"Automate capability/GA/status reconciliation report","Owner: @team-analytics
KPI: Status mismatch incidents across canonical docs = 0.

Acceptance Criteria:
- [ ] CI job compares `CAPABILITY_MATRIX`, `GA_CHECKLIST`, `ROADMAP`, and `STATUS`.
- [ ] Drift report generated as artifact and PR comment.
- [ ] Blocking mode enabled for critical-field mismatches.","program:execution-2026,docs,governance,priority:high,owner:team-analytics","2026-M0 Release Integrity"
"[EPIC] Surface Parity Closure","Owner: @team-core
KPI: CLI coverage >= 90%, SDK parity >= 97%, UI coverage >= 35%.

Scope:
- Close explicit capability matrix gaps for API/CLI/SDK/UI.
- Prioritize decision integrity, workflow, memory, and compliance surfaces.

Acceptance Criteria:
- [ ] All matrix-listed API/CLI/SDK gaps have tracked implementations.
- [ ] UI roadmap includes delivery dates and acceptance tests.
- [ ] Matrix regenerated and trending metrics published weekly.","program:execution-2026,epic,priority:critical,owner:team-core","2026-M1 Surface Parity"
"Implement `consensus_detection` API surface","Owner: @team-core
KPI: Missing API gap count reduced from 1 to 0.

Acceptance Criteria:
- [ ] API routes exist with auth/RBAC and OpenAPI schema.
- [ ] Handler tests and contract tests pass.
- [ ] Endpoint appears in generated capability matrix.","program:execution-2026,api,priority:critical,owner:team-core","2026-M1 Surface Parity"
"Add `consensus_detection` support to Python and TypeScript SDKs","Owner: @team-sdk
KPI: Missing SDK gap count reduced from 1 to 0.

Acceptance Criteria:
- [ ] Namespaces/methods generated in both SDKs.
- [ ] Contract parity tests pass without xfail.
- [ ] SDK docs include usage example.","program:execution-2026,sdk,priority:critical,owner:team-sdk","2026-M1 Surface Parity"
"Add CLI command group for compliance framework workflows","Owner: @team-core
KPI: Missing CLI gap count reduced.

Acceptance Criteria:
- [ ] CLI includes compliance framework command set with help text.
- [ ] Commands support dry-run and machine-readable output.
- [ ] Tests cover happy-path and auth failure behavior.","program:execution-2026,cli,compliance,priority:high,owner:team-core","2026-M1 Surface Parity"
"Add CLI command group for consensus detection workflows","Owner: @team-core
KPI: Missing CLI gap count reduced.

Acceptance Criteria:
- [ ] CLI includes consensus detection command set.
- [ ] Output can be consumed by CI pipelines (JSON mode).
- [ ] Documentation includes one end-to-end example.","program:execution-2026,cli,priority:high,owner:team-core","2026-M1 Surface Parity"
"Add RBAC v2 CLI admin commands","Owner: @team-risk
KPI: Missing CLI gap count reduced.

Acceptance Criteria:
- [ ] Role/permission inspection and assignment commands available.
- [ ] RBAC CLI commands enforce admin permissions.
- [ ] Audit logs capture all CLI-admin changes.","program:execution-2026,cli,security,priority:high,owner:team-risk","2026-M1 Surface Parity"
"Ship Decision Integrity UI workbench (debate/workflow/memory/nomic)","Owner: @team-growth
KPI: UI capability coverage >= 35%.

Acceptance Criteria:
- [ ] UI surfaces for decision integrity and workflow engine are visible behind production flags.
- [ ] Read models for continuum memory and nomic loop state available.
- [ ] Telemetry captures adoption and error rates for each panel.","program:execution-2026,frontend,priority:critical,owner:team-growth","2026-M1 Surface Parity"
"FastAPI migration wave for critical handlers","Owner: @team-platform
KPI: Critical handler coverage in FastAPI >= 80% of priority list.

Acceptance Criteria:
- [ ] Priority handler migration plan approved.
- [ ] Migrated routes have parity tests vs legacy behavior.
- [ ] Cutover strategy documented with rollback path.","program:execution-2026,api,platform,priority:high,owner:team-platform","2026-M1 Surface Parity"
"[EPIC] Channel Productization and FinOps","Owner: @team-integrations
KPI: Channel workflow success >= 95%; budget-overrun debates <= 3%.

Scope:
- Turn chat connectors into reliable threaded debate workflows.
- Enforce workspace cost controls and visibility.

Acceptance Criteria:
- [ ] Slack and Teams threaded lifecycle GA path validated.
- [ ] Budget policy + spend dashboard available in workspace scope.
- [ ] Debate receipts include cost and policy outcome details.","program:execution-2026,epic,priority:critical,owner:team-integrations","2026-M2 Channel and FinOps"
"Slack thread debate lifecycle v1","Owner: @team-integrations
KPI: Slack thread success rate >= 95% on pilot tenants.

Acceptance Criteria:
- [ ] Slash/mention trigger starts debate in thread context.
- [ ] Progress and final receipt posted into originating thread.
- [ ] Retries and rate-limit behavior validated under load.","program:execution-2026,integration,slack,priority:critical,owner:team-integrations","2026-M2 Channel and FinOps"
"Teams thread debate lifecycle v1","Owner: @team-integrations
KPI: Teams debate workflow success >= 95% on pilot tenants.

Acceptance Criteria:
- [ ] Bot mention/command starts debate in Teams context.
- [ ] Adaptive Card summary and receipt link posted on completion.
- [ ] Error states return actionable user-facing messages.","program:execution-2026,integration,teams,priority:high,owner:team-integrations","2026-M2 Channel and FinOps"
"Workspace budget policy engine","Owner: @team-finops
KPI: Budget-overrun debates <= 3% after rollout.

Acceptance Criteria:
- [ ] Soft and hard limits configurable per workspace.
- [ ] Policy engine blocks/escales debates at hard limit.
- [ ] Budget state exposed via API and admin UI.","program:execution-2026,billing,policy,priority:critical,owner:team-finops","2026-M2 Channel and FinOps"
"Per-debate cost accounting and receipt inclusion","Owner: @team-finops
KPI: >= 95% receipts include normalized cost accounting.

Acceptance Criteria:
- [ ] Token usage tracked per agent/provider call.
- [ ] Provider pricing model is versioned and overridable by workspace.
- [ ] Receipt export includes cost breakdown and total.","program:execution-2026,billing,receipts,priority:high,owner:team-finops","2026-M2 Channel and FinOps"
