title,body,labels,milestone
"Audit Test Skip Markers","Several test files use `@pytest.mark.skip` with reasons referencing tickets or dates. Audit all skip markers and either fix the underlying issue, document why the skip is permanent, or create tracking issues.

**Acceptance Criteria:**
- [ ] All `@pytest.mark.skip` markers audited
- [ ] Stale skips (>6 months) resolved or documented
- [ ] New skips require issue reference
- [ ] CI warns on skip count increase","tech-debt,testing,priority:high","Sprint 1"
"Consolidate TypeScript SDK Packages","Currently two TypeScript packages exist: `@aragora/sdk` and `@aragora/client`. Clarify purposes and ensure version parity.

**Acceptance Criteria:**
- [ ] Update README in both packages explaining differences
- [ ] Ensure version parity (both at 2.1.14)
- [ ] Cross-reference in documentation","tech-debt,sdk,priority:high","Sprint 1"
"Python Package Naming Consistency","Clarify Python package naming: PyPI name `aragora`, module import `import aragora`.

**Acceptance Criteria:**
- [ ] Verify PyPI ownership
- [ ] Update pyproject.toml metadata
- [ ] Add package naming to CONTRIBUTING.md","tech-debt,packaging,priority:medium","Sprint 1"
"Establish Integration Test Baseline","Create baseline integration test suite that runs with minimal dependencies.

**Acceptance Criteria:**
- [ ] Integration tests run without API keys
- [ ] Mock providers for offline testing
- [ ] CI runs integration tests on every PR
- [ ] Test coverage report generated","testing,ci,priority:high","Sprint 1"
"Slack Integration - Production Ready","Make Slack integration production-ready for SMEs with OAuth flow, slash commands, thread-based debates.

**Acceptance Criteria:**
- [ ] OAuth installation flow works
- [ ] `/aragora debate` starts debate
- [ ] Responses appear in thread
- [ ] Final decision posted with receipt link
- [ ] Rate limiting respects Slack API limits","feature,integration,sme,priority:critical","Sprint 2"
"Microsoft Teams Integration","Add Microsoft Teams connector with Azure AD app registration, Bot Framework integration, Adaptive Cards.

**Acceptance Criteria:**
- [ ] Teams app manifest created
- [ ] Bot responds to mentions
- [ ] Debates run in channel threads
- [ ] Decision receipts as Adaptive Cards","feature,integration,sme,priority:high","Sprint 2"
"Decision Receipts v1","Implement cryptographically-signed decision receipts with SHA-256 hash, timestamps, participant list, PDF/JSON export.

**Acceptance Criteria:**
- [ ] Receipt generated after each debate
- [ ] Unique receipt ID (UUID)
- [ ] Cryptographic signature (HMAC-SHA256)
- [ ] PDF and JSON export endpoints
- [ ] Receipt verification endpoint","feature,audit,sme,priority:critical","Sprint 2"
"Receipt Storage Adapter","Create Knowledge Mound adapter for storing decision receipts with immutable storage and efficient retrieval.

**Acceptance Criteria:**
- [ ] ReceiptAdapter implements KM interface
- [ ] Query by date range, topic, participant
- [ ] Export all receipts for compliance","feature,storage,priority:high","Sprint 2"
"OpenAPI 3.1 Specification","Generate comprehensive OpenAPI 3.1 spec covering all 275+ endpoints with schemas, examples, error responses.

**Acceptance Criteria:**
- [ ] All endpoints documented
- [ ] Schemas match actual API responses
- [ ] Examples for every endpoint
- [ ] Auto-generation from code","feature,api,docs,priority:critical","Sprint 3"
"TypeScript SDK Feature Parity","Ensure @aragora/sdk has feature parity with Python SDK: all endpoints, WebSocket, types, error handling.

**Acceptance Criteria:**
- [ ] SDK methods for all major endpoints
- [ ] WebSocket client for real-time events
- [ ] Types auto-generated from OpenAPI
- [ ] npm package published","feature,sdk,priority:critical","Sprint 3"
"SDK Code Generation Pipeline","Create automated pipeline to generate SDK clients from OpenAPI for TypeScript, Python, and optionally Go.

**Acceptance Criteria:**
- [ ] `npm run generate:types` works
- [ ] Types match API exactly
- [ ] CI validates types are current","tooling,sdk,priority:high","Sprint 3"
"Interactive API Explorer","Deploy Swagger UI or Redoc for interactive API exploration at docs.aragora.ai/api.

**Acceptance Criteria:**
- [ ] API explorer deployed
- [ ] Works with API key auth
- [ ] Code samples for curl, Python, TypeScript, Go","feature,docs,priority:medium","Sprint 3"
"Docker Compose Production Stack","Create production-ready docker-compose.yml for SME deployment with PostgreSQL, Redis, Nginx, auto HTTPS.

**Acceptance Criteria:**
- [ ] `docker compose up` starts all services
- [ ] Data persisted in volumes
- [ ] Health checks for all services
- [ ] Works on 4GB RAM minimum","feature,deployment,sme,priority:critical","Sprint 4"
